,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,,"   Улаанбаатар хотын гол нэрийн зарим барааны үнэ, үнийн индекс ",,,,,
1,,(2012 оны 2-р сарын 15-ны байдлаар өмнөх 7 хоногийн дундаж үнэтэй харьцуулснаар),,,,,
2,,,,,,,
3,,№,Барааны нэр,,2012 он,,II - 15
4,,,,,2 сарын,,
5,,,,,8-ны үнэ,15-ны үнэ,II - 08
6,,,,,,,
7,,1,"""Алтан тариа"" гурил ","дээд, савласан, кг",911,911,100
8,,,,"I зэрэг, задгай, кг",696,696,100
9,,2,Талх,"""Атар"", 600 гр",650,650,100
10,,,,"""Зууван чех"", 600 гр",861,859,99.76771196283391
11,,3,"Цагаан будаа, кг",,1677,1677,100
12,,4,"Хонины мах, ястай, кг",,5450,5513,101.1559633027523
13,,5,"Үхрийн мах, ястай, кг",,6538,6600,100.94830223309881
14,,6,"Үхрийн мах, цул, кг",,7200,7263,100.875
15,,7,"Адууны мах, ястай, кг",,4633,4633,100
16,,8,"Ямааны мах, ястай, кг",,4460,4460,100
17,,9,Сүү,"задгай, л",1300,1300,100
18,,,,"""Элекстер"", 0.5 л",766,772,100.78328981723237
19,,,,"""Шинэ Сүү"", л",1732,1727,99.71131639722863
20,,10,"Тараг, савласан, 900 гр, ""Цөцгийтэй""",,1607,1619,100.74673304293715
21,,11,"Цөцгийн тос, 250 гр",,2186,2186,100
22,,12,"Ургамлын тос, ""Кларина"", л",,2740,2749,100.32846715328468
23,,13,"Элсэн чихэр, кг",,1697,1697,100
24,,14,"Ногоон цай, савласан, 2 кг",,3825,3825,100
25,,15,"Өндөг, ш",,259,259,100
26,,16,"Алим, ""Фүжи"" сортын, кг",,3162,3177,100.47438330170777
27,,17,"Төмс, дотоод, кг",,1009,1019,100.99108027750248
28,,18,"Лууван, дотоод, кг",,955,955,100
29,,19,"Байцаа, импортын, кг",,969,969,100
30,,21,"Сонгино, бөөрөнхий, импортын, кг",,984,967,98.27235772357723
31,,22,Шатахуун,"Аи-80 автобензин, л",1480,1480,100
32,,,,"Аи-92 автобензин, л ",1780,1780,100
33,,,,"Дизелийн түлш, л",1830,1830,100
34,,ДҮН,,,,,100.40846025354251
35,,,,,,,
36,,2012 оны 2-р сарын 15-ны байдлаар гол нэрийн барааны үнийг дүнгээр нь өмнөх 7 хоногийнхòîé õàðüöóóëàõàä 0.4 хувиар өссөн байна.,,,,,
